,month,week,hour,access_count
292,6,Sunday,18,379
293,6,Sunday,17,466
294,6,Sunday,16,284
295,6,Sunday,15,470
296,6,Sunday,14,351
297,6,Sunday,13,170
298,6,Sunday,12,240
299,6,Sunday,11,388
300,6,Sunday,10,522
301,6,Sunday,9,502
302,6,Sunday,8,696
303,6,Sunday,7,611
304,6,Sunday,6,415
305,6,Sunday,5,156
306,6,Sunday,4,25
307,6,Sunday,3,7
308,6,Sunday,2,8
309,6,Sunday,1,9
310,6,Sunday,0,20
311,6,Saturday,23,74
312,6,Saturday,22,243
313,6,Saturday,21,378
314,6,Saturday,20,260
315,6,Saturday,19,221
316,6,Saturday,18,505
317,6,Saturday,17,509
318,6,Saturday,16,359
319,6,Saturday,15,581
320,6,Saturday,14,501
321,6,Saturday,13,293
322,6,Saturday,12,238
323,6,Saturday,11,368
324,6,Saturday,10,525
325,6,Saturday,9,611
326,6,Saturday,8,787
327,6,Saturday,7,681
328,6,Saturday,6,506
329,6,Saturday,5,207
330,6,Saturday,4,22
331,6,Saturday,3,6
332,6,Saturday,2,12
333,6,Saturday,1,10
334,6,Saturday,0,29
335,6,Monday,23,91
336,6,Monday,22,225
337,6,Monday,21,357
338,6,Monday,20,482
339,6,Monday,19,506
340,6,Monday,18,364
341,6,Monday,17,458
342,6,Monday,16,318
343,6,Monday,15,289
344,6,Monday,14,220
345,6,Monday,13,118
346,6,Monday,12,63
347,6,Monday,11,134
348,6,Monday,10,254
349,6,Monday,9,350
350,6,Monday,8,440
351,6,Monday,7,559
352,6,Monday,6,454
353,6,Monday,5,203
354,6,Monday,4,25
355,6,Monday,3,6
356,6,Monday,2,4
357,6,Monday,1,10
358,6,Monday,0,20
359,6,Friday,23,71
360,6,Friday,22,203
361,6,Friday,21,299
362,6,Friday,20,310
363,6,Friday,19,289
364,6,Friday,18,199
365,6,Friday,17,302
366,6,Friday,16,275
367,6,Friday,15,300
368,6,Friday,14,208
369,6,Friday,13,116
370,6,Friday,12,56
371,6,Friday,11,101
372,6,Friday,10,277
373,6,Friday,9,324
374,6,Friday,8,507
375,6,Friday,7,539
376,6,Friday,6,500
377,6,Friday,5,217
378,6,Friday,4,22
379,6,Friday,3,3
380,6,Friday,2,4
381,6,Friday,1,7
382,6,Friday,0,16
383,5,Wednesday,23,42
384,5,Wednesday,22,169
385,5,Wednesday,21,215
386,5,Wednesday,20,183
387,5,Wednesday,19,232
388,5,Wednesday,18,281
389,5,Wednesday,17,265
390,5,Wednesday,16,263
391,5,Wednesday,15,455
392,5,Wednesday,14,329
393,5,Wednesday,13,164
394,5,Wednesday,12,78
395,5,Wednesday,11,159
396,5,Wednesday,10,221
397,5,Wednesday,9,295
398,5,Wednesday,8,413
399,5,Wednesday,7,445
400,5,Wednesday,6,362
401,5,Wednesday,5,131
402,5,Wednesday,4,9
403,5,Wednesday,3,2
404,5,Wednesday,2,6
405,5,Wednesday,1,3
406,5,Wednesday,0,6
407,5,Tuesday,23,31
408,5,Tuesday,22,130
409,5,Tuesday,21,176
410,5,Tuesday,20,233
411,5,Tuesday,19,293
412,5,Tuesday,18,285
413,5,Tuesday,17,314
414,5,Tuesday,16,278
415,5,Tuesday,15,373
416,5,Tuesday,14,345
417,5,Tuesday,13,137
418,5,Tuesday,12,83
419,5,Tuesday,11,153
420,5,Tuesday,10,239
421,5,Tuesday,9,300
422,5,Tuesday,8,418
423,5,Tuesday,7,443
424,5,Tuesday,6,418
425,5,Tuesday,5,139
426,5,Tuesday,4,19
427,5,Tuesday,3,1
428,5,Tuesday,2,4
429,5,Tuesday,1,5
430,5,Tuesday,0,9
431,5,Thursday,23,34
432,5,Thursday,22,123
433,5,Thursday,21,184
434,5,Thursday,20,215
435,5,Thursday,19,286
436,5,Thursday,18,197
437,5,Thursday,17,201
438,5,Thursday,16,254
439,5,Thursday,15,246
440,5,Thursday,14,248
441,5,Thursday,13,164
442,5,Thursday,12,76
443,5,Thursday,11,174
444,5,Thursday,10,271
445,5,Thursday,9,294
446,5,Thursday,8,428
